sender_account_id,urgency_level,channel_switch_count,content_available,event_id,occurred_at,event_type,sequence,chain_id,group_key,attack_family,is_attack,fraud_contributing,value_at_risk_inr,label,source,beneficiary_id,beneficiary_age_days,device_id,customer_authorized,sender_baseline_amount_inr,amount_inr,amount_to_baseline_ratio,strong_authentication_passed,customer_confirmation_complete,payment_count,payment_interval_minutes,campaign_duration_minutes,network_id,session_age_seconds,device_is_new,network_is_new,change_risk_band,supplier_id,supplier_relationship_days,approval_step_count,session_history_depth,merchant_id,outflow_ratio,warmup_event_count,device_shared_across_accounts,network_shared_across_accounts,sender_count,beneficiary_count,mule_count,identity_id,profile_consistency_score,linked_attribute_count,document_consistency_score,liveness_confidence,verification_retry_count,device_reused_across_profiles,account_age_days,dormancy_days_before_activity
syn_sender_421870,5.0,4.0,False,syn_evt_5761d6cdeb865e77b21e,2026-08-02T01:00:00+00:00,COMMUNICATION_RISK_CONTEXT,1,RT-APP-01-04200000-BASE,RT-APP-01-04200000-BASE,APP-01,True,False,0.0,0,attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
syn_sender_421870,,,,syn_evt_aee0187b208157eeb3a4,2026-08-02T01:00:45+00:00,BENEFICIARY_ADDED,2,RT-APP-01-04200000-BASE,RT-APP-01-04200000-BASE,APP-01,True,True,0.0,1,attack,syn_beneficiary_315032,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
syn_sender_421870,,,,syn_evt_44d6c7a64b2052e2a17a,2026-08-02T01:02:00+00:00,PAYMENT_INITIATED,3,RT-APP-01-04200000-BASE,RT-APP-01-04200000-BASE,APP-01,True,True,21763.35,1,attack,syn_beneficiary_315032,,syn_device_959115,True,2418.15,21763.35,9.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
syn_sender_421870,,,,syn_evt_1dbdc9f10021560c9090,2026-08-02T01:05:00+00:00,PAYMENT_REPEATED,4,RT-APP-01-04200000-BASE,RT-APP-01-04200000-BASE,APP-01,True,True,9672.6,1,attack,syn_beneficiary_315032,,,,2418.15,2418.15,1.0,True,True,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
syn_sender_421870,,,,syn_evt_c263dcf9229e5a8d96ba,2026-08-02T01:10:00+00:00,FUNDS_RECEIVED,5,RT-APP-01-04200000-BASE,RT-APP-01-04200000-BASE,APP-01,True,True,0.0,1,attack,syn_beneficiary_315032,,,,2418.15,2418.15,1.0,False,False,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
syn_sender_421870,0.0,4.0,False,syn_evt_5ff90cdf5e085e5ea89a,2026-08-02T10:10:00+00:00,COMMUNICATION_RISK_CONTEXT,1,CTRL-APP-01-01-4200000,CTRL-APP-01-01-4200000,,False,False,0.0,0,control,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
syn_sender_421870,,,,syn_evt_35c2e7ead30b598da2c4,2026-08-02T10:10:45+00:00,BENEFICIARY_ADDED,2,CTRL-APP-01-01-4200000,CTRL-APP-01-01-4200000,,False,False,0.0,0,control,syn_beneficiary_315032,456.0,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
syn_sender_421870,,,,syn_evt_bb269cd05ec4580aac42,2026-08-02T10:12:00+00:00,PAYMENT_INITIATED,3,CTRL-APP-01-01-4200000,CTRL-APP-01-01-4200000,,False,False,0.0,0,control,syn_beneficiary_315032,,syn_device_959115,True,2418.15,2662.62,1.1011,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
syn_sender_421870,,,,syn_evt_bf13341eb00b549a8fc8,2026-08-02T10:15:00+00:00,PAYMENT_REPEATED,4,CTRL-APP-01-01-4200000,CTRL-APP-01-01-4200000,,False,False,0.0,0,control,syn_beneficiary_315032,,,,2418.15,1994.25,0.8247,True,True,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
syn_sender_421870,,,,syn_evt_16e1824bab57546e89e6,2026-08-02T10:20:00+00:00,FUNDS_RECEIVED,5,CTRL-APP-01-01-4200000,CTRL-APP-01-01-4200000,,False,False,0.0,0,control,syn_beneficiary_315032,,,,2418.15,2838.67,1.1739,True,True,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
